,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,b'2022-06-26T08:49:32.183Z,2022-06-26T08:49:33.411Z,nu.web,page_view,article,6208676,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Bedum,NL,GR,Groningen,Europe/Amsterdam,9781,https://www.nu.nl/,Prinses Alexia viert zeventiende verjaardag | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/koningshuis/6208676/prinses-alexia-viert-zeventiende-verjaardag.html,web,internal,"""""",www.nu.nl,null,b7fcf097a8cd6f354ff66956b944d698,"""""","""""",993fc8693ff63b6d7dec96f1a1aa5052,5b13614244506560f3888598abba9536\n',,
11,b'2022-06-26T11:44:53.372Z,2022-06-26T11:44:53.338Z,nu.web,page_view,article,6208490,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,The Hague,NL,ZH,South Holland,Europe/Amsterdam,2513,https://www.nu.nl/,Waarschijnlijk krijgen meeste mensen op fraudelijst van fiscus geen compensatie | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/politiek/6208490/waarschijnlijk-krijgen-meeste-mensen-op-fraudelijst-van-fiscus-geen-compensatie.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",51a418dd581a9ec36fc2dd648853b1d9,3f472e9ff2cb99718a247dd69ab2e96c\n',,
12,b'2022-06-26T08:19:57.777Z,2022-06-26T08:19:57.695Z,nu.web,page_view,article,6207115,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,The Hague,NL,ZH,South Holland,Europe/Amsterdam,2513,android-app://com.google.android.googlequicksearchbox/,Fouten ontdekt in energienota\'s bij teruglevering zonnepanelen | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/wonen/6207115/fouten-ontdekt-in-energienotas-bij-teruglevering-zonnepanelen.html,web,unknown,"""""",com.google.android.googlequicksearchbox,null,723ba42d9ce07487ab76bb33ce10253a,"""""","""""",fe2671c5a8fc523bbf9bb38ba4102c45,08f71031398dc4d2a0765867830c8f4f\n',,
13,b'2022-06-26T11:44:45.409Z,2022-06-26T11:44:48.313Z,nu.web,page_view,article,5948292,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Dobbs Ferry,US,NY,New York,America/New_York,10522,https://www.nu.nl/dieren/6208675/chinese-gekuifde-naakthond-happy-face-uitgeroepen-tot-lelijkste-hond-ter-wereld.html,Kleine hond met dreadlocks uitgeroepen tot lelijkste hond ter wereld | Dieren | NU.nl,www.nu.nl,/dieren/5948292/kleine-hond-met-dreadlocks-uitgeroepen-tot-lelijkste-hond-ter-wereld.html,web,internal,"""""",www.nu.nl,"""""",7b41985127b263e21283ccc54f367bff,"""""","""""",6b140ff9d1ef473f6cf773e08e593b6e,0224472950dd7110b5426f38895eef28\n',,
14,b'2022-06-26T18:09:34.189Z,2022-06-26T18:09:33.241Z,nu.web,page_view,article,6208724,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Delft,NL,ZH,South Holland,Europe/Amsterdam,2613,https://www.nu.nl/,Iran lanceert omstreden raket terwijl nucleair overleg binnenkort wordt hervat | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208724/iran-lanceert-omstreden-raket-terwijl-nucleair-overleg-binnenkort-wordt-hervat.html,web,internal,"""""",www.nu.nl,null,be2364c91a60597fb57d9368e6eb5f47,"""""","""""",913f719013c996e2d314e34066e9bb44,03598fc78e0aa8b5cf92c5bb00598b87\n',,
15,b'2022-06-26T14:49:05.824Z,2022-06-26T14:49:05.708Z,nu.web,page_view,article,6208703,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Oosterhout,NL,GE,Gelderland,Europe/Amsterdam,6678,https://www.nu.nl/,U2-zanger Bono ontdekte pas na tientallen jaren dat hij een halfbroer heeft | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/achterklap/6208703/u2-zanger-bono-ontdekte-pas-na-tientallen-jaren-dat-hij-een-halfbroer-heeft.html,web,internal,"""""",www.nu.nl,null,8c03bd21c1e87163871154be955e64fb,"""""","""""",65d59324e442f8b4358fc501afa238a6,fbb3bba0cf6e501e62277c2047fa95e3\n',,
16,b'2022-06-26T18:09:34.128Z,2022-06-26T18:09:34.015Z,nu.web,page_view,article,6208709,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Leidschendam,NL,ZH,South Holland,Europe/Amsterdam,2264,https://www.nu.nl/,Nederlanders gewond door val met gemotoriseerde driewieler in afgrond Itali\xc3\xab | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208709/nederlanders-gewond-door-val-met-gemotoriseerde-driewieler-in-afgrond-italie.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",61dad8ea61174b3f0b1c5a799a266732,b72469e94ddf8be39ce7250d3c85a4b3\n',,
17,b'2022-06-26T18:09:33.068Z,2022-06-26T18:09:32.213Z,nu.web,page_view,article,6208718,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Deventer,NL,OV,Overijssel,Europe/Amsterdam,7413,https://www.nu.nl/,"""Merlier sprint naar tweede Belgische titel"," ook zege voor imponerende Cavendish | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/wielrennen/6208718/merlier-sprint-naar-tweede-belgische-titel-ook-zege-voor-imponerende-cavendish.html,web,internal,"""""",www.nu.nl,null,e6ef7a9215ce0ffff5646dd5cebca0e4,"""""","""""",743b07f0a5f6ac62f788e74f96de1510,40bded3926c1ee4e6f53a5111d683601\n',
18,b'2022-06-26T11:44:40.746Z,2022-06-26T11:44:42.325Z,nu.web,page_view,article,6208703,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Utrecht,NL,UT,Utrecht,Europe/Amsterdam,3563,https://www.nu.nl/net-binnen,U2-zanger Bono heeft een halfbroer waar hij tientallen jaren niet van wist | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/achterklap/6208703/u2-zanger-bono-heeft-een-halfbroer-waar-hij-tientallen-jaren-niet-van-wist.html,web,internal,"""""",www.nu.nl,null,829278e269f9f85a02c8304193e92d01,"""""","""""",b2e3936adb81065fc2d4f1cf57d470cc,bd5bd67c8ec04597ab06d7c16e159f74\n',,
19,b'2022-06-26T18:09:36.218Z,2022-06-26T18:09:36.536Z,nu.web,page_view,article,6208703,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Hengelo,NL,OV,Overijssel,Europe/Amsterdam,7558,https://www.google.com/,U2-zanger Bono ontdekte pas na tientallen jaren dat hij een halfbroer heeft | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/achterklap/6208703/u2-zanger-bono-ontdekte-pas-na-tientallen-jaren-dat-hij-een-halfbroer-heeft.html,web,search,Google,www.google.com,null,d1e03908cf2f005a55a0b23bef9f922b,"""""","""""",c82c3742991985d34e091231f8b880ab,60f83a7b13729a21bbd706ed3a86510e\n',,
